market_key,market,scenario_id,scenario,is_baseline,sensitivity_parameter,sensitivity_value,n,epsilon,d_I,d_J,replication,strategy,interactions_total,interactions_per_customer,welfare,optimal_welfare,welfare_ratio,welfare_regret,match_rate,runtime_ms,baseline_prediction,centralized_sufficient_condition,z,rejections,acceptances,displacements,provider_initiated_contacts,recommendations_per_customer,accepted_recommendations
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,3,Both sides search,73,2.92,21.400000000000002,21.400000000000002,1.0,0.0,1.0,0.26619999698596075,Customers search,False,0.0,24.0,49.0,24.0,0.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,3,Centralized matching,625,25.0,16.0,21.400000000000002,0.7476635514018691,0.25233644859813087,0.64,0.37259999953676015,Customers search,False,,,,,,25.0,32.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,d_J (with d_I fixed at 0.10),0.8,25,0.1,0.1,0.8,3,Customers search,51,2.04,22.200000000000003,22.200000000000003,1.0,0.0,1.0,0.1788000008673407,Customers search,False,,13.0,38.0,13.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,d_J (with d_I fixed at 0.10),0.8,25,0.1,0.1,0.8,3,Providers search,367,14.68,22.200000000000003,22.200000000000003,1.0,0.0,1.0,1.1668000006466173,Customers search,False,,318.0,49.0,24.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,d_J (with d_I fixed at 0.10),0.8,25,0.1,0.1,0.8,3,Both sides search,51,2.04,22.200000000000003,22.200000000000003,1.0,0.0,1.0,0.21079999714856967,Customers search,False,0.0,13.0,38.0,13.0,0.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,d_J (with d_I fixed at 0.10),0.8,25,0.1,0.1,0.8,3,Centralized matching,625,25.0,18.0,22.200000000000003,0.8108108108108107,0.18918918918918926,0.72,0.3971999976783991,Customers search,False,,,,,,25.0,41.0
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,d_J (with d_I fixed at 0.10),1.0,25,0.1,0.1,1.0,3,Customers search,36,1.44,23.4,23.4,1.0,0.0,1.0,0.14540000120177865,Customers search,False,,0.0,36.0,11.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,d_J (with d_I fixed at 0.10),1.0,25,0.1,0.1,1.0,3,Providers search,400,16.0,23.4,23.4,1.0,0.0,1.0,1.323600001342129,Customers search,False,,351.0,49.0,24.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,d_J (with d_I fixed at 0.10),1.0,25,0.1,0.1,1.0,3,Both sides search,36,1.44,23.4,23.4,1.0,0.0,1.0,0.24909999774536118,Customers search,False,0.0,0.0,36.0,11.0,0.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,d_J (with d_I fixed at 0.10),1.0,25,0.1,0.1,1.0,3,Centralized matching,625,25.0,21.0,23.4,0.8974358974358975,0.10256410256410253,0.84,0.4853999998886138,Customers search,False,,,,,,25.0,55.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,4,Customers search,109,4.36,19.0,19.0,1.0,0.0,1.0,0.36789999285247177,Customers search,False,,68.0,41.0,16.0,,,
